ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
39,OHIO,OH,Medina,39103,"Medina County, Ohio",421.3942255,177257,0,71882,143,68121,448,11303,1422,3065,467,35979,691,6282,452,29672,137,40656,0,19193,998,4287,446,10644,98,502,181,4640,378,675,168,734,227,2798,298,1427,316,6.4,0.8,3.2,0.5,35979.0,691.0,5.1,0.4,16.7,0.1,22.9,0.0,10.9,0.6,6.3,0.7,6.0,0.1,0.3,0.1,6.5,0.5,0.9,0.2,1.1,0.3,4.1,0.4,0.8,0.2,0.0345,0.069,0.0345,0.0115,0.1495,0.0115,0.3218,0.4713,0.0575,0.0345,0.8851,0.023,0.3448,0.3103,0.6551,0.3218,0.8046,0.023,0.3103,0.0575,0.0115,1.2069,0.0345,2.8966,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7453,723,4.2,0.4,140295
39,OHIO,OH,Putnam,39137,"Putnam County, Ohio",482.5439437,33969,0,13892,60,13236,170,2265,471,514,135,30064,1019,1528,210,5590,45,8674,19,3450,281,878,192,2688,241,132,113,190,76,831,132,115,64,398,117,309,133,6.7,1.4,2.9,0.8,30064.0,1019.0,6.8,0.9,16.5,0.1,25.5,0.1,10.2,0.8,6.6,1.4,7.9,0.7,0.4,0.4,1.4,0.6,6.0,1.0,0.9,0.5,3.0,0.9,0.9,0.4,0.046,0.046,0.2184,0.0575,0.3679,0.046,0.3103,0.9655,0.0345,0.046,1.3563,0.1494,0.5632,0.4023,0.9655,0.5172,0.069,0.4368,0.2069,0.0115,0.046,0.7702,0.0,3.4599,0.0115,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1033,288,3.1,0.9,27514
39,OHIO,OH,Auglaize,39011,"Auglaize County, Ohio",401.393896,45784,0,19852,75,18723,245,3906,573,838,176,29908,996,2110,275,7946,40,11125,25,4915,368,1557,272,1931,67,103,111,699,208,631,129,212,88,884,155,544,158,8.7,1.3,3.5,0.7,29908.0,996.0,6.8,0.9,17.4,0.1,24.3,0.1,10.9,0.8,8.3,1.5,4.2,0.1,0.2,0.3,3.5,1.1,3.2,0.6,1.1,0.5,4.7,0.8,1.2,0.3,0.092,0.0805,0.2299,0.0575,0.4599,0.069,0.5172,0.8736,0.0575,0.3678,1.8161,0.3333,0.1609,0.092,0.2529,0.1149,0.4483,0.2069,0.3103,0.1264,0.2069,1.2988,0.0575,3.8277,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1838,316,4.1,0.7,41957
39,OHIO,OH,Delaware,39041,"Delaware County, Ohio",443.1599076,197008,0,71959,122,68649,501,8843,1018,2824,386,47183,820,4222,459,25025,82,53232,10,15539,793,4523,472,28102,97,1257,320,3930,387,1300,183,468,116,1696,236,2621,288,4.6,0.5,2.7,0.4,47183.0,820.0,3.3,0.4,12.7,0.1,27.0,0.0,7.9,0.4,6.6,0.7,14.3,0.0,0.7,0.2,5.5,0.5,1.8,0.3,0.7,0.2,2.5,0.3,1.3,0.1,0.0,0.0345,0.0,0.0,0.0345,0.0,0.0345,0.9885,0.0,0.046,1.069,0.0575,0.8276,0.7471,1.5747,0.8621,0.7241,0.1149,0.1494,0.0,0.2529,1.2413,0.046,3.9195,0.0345,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7580,843,3.9,0.4,176670
39,OHIO,OH,Mercer,39107,"Mercer County, Ohio",462.4434064,40806,0,17935,81,16104,270,2788,512,567,151,28513,955,2249,267,6923,45,10482,35,4684,380,1111,198,1818,49,96,111,530,143,1137,164,199,79,596,133,504,182,6.9,1.3,2.6,0.7,28513.0,955.0,8.3,1.0,17.0,0.1,25.7,0.1,11.6,0.9,6.9,1.2,4.5,0.1,0.3,0.3,3.0,0.8,6.3,0.9,1.2,0.5,3.7,0.8,1.2,0.4,0.0575,0.023,0.2989,0.1839,0.5633,0.092,0.3793,0.977,0.1264,0.1149,1.5976,0.2529,0.1954,0.3103,0.5057,0.2529,0.3563,0.4713,0.3908,0.046,0.2069,1.4713,0.1034,4.1379,0.046,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1672,291,4.1,0.7,39632
39,OHIO,OH,Warren,39165,"Warren County, Ohio",401.2493262,226564,0,85957,391,81859,750,10100,1395,4113,498,39448,855,9904,605,30752,65,57412,0,21415,928,5441,556,30411,318,1378,308,4973,506,889,242,409,117,2507,369,7375,1023,4.6,0.6,3.6,0.4,39448.0,855.0,6.5,0.4,13.6,0.1,25.3,0.0,9.8,0.4,6.6,0.7,13.4,0.1,0.6,0.1,5.8,0.6,1.0,0.3,0.5,0.1,3.1,0.4,3.3,0.5,0.0,0.092,0.023,0.0345,0.1495,0.0115,0.0575,0.9425,0.023,0.046,1.069,0.0575,0.7931,0.6667,1.4598,0.8046,0.7471,0.046,0.023,0.023,0.7241,1.5632,0.1149,4.2415,0.0575,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9197,980,4.2,0.4,194410
39,OHIO,OH,Union,39159,"Union County, Ohio",431.7496526,55654,0,20775,110,19546,253,3610,815,720,175,34691,1081,2781,355,6508,111,13872,119,6014,557,1465,268,5644,197,161,105,777,205,874,190,244,114,845,172,3199,262,6.9,1.6,2.5,0.6,34691.0,1081.0,7.4,1.0,11.7,0.2,24.9,0.2,11.5,1.1,7.5,1.4,10.1,0.4,0.3,0.2,3.7,1.0,4.2,0.9,1.2,0.6,4.3,0.9,5.7,0.5,0.0575,0.0115,0.046,0.092,0.207,0.0345,0.0115,0.931,0.1149,0.2299,1.2873,0.1034,0.6437,0.3103,0.954,0.4943,0.5287,0.2989,0.3908,0.069,0.8851,2.1725,0.3103,4.6208,0.069,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2410,438,4.6,0.8,63172
39,OHIO,OH,Clermont,39025,"Clermont County, Ohio",452.109296,203216,0,82830,182,77181,645,19204,1668,4473,503,32900,665,13641,791,30876,142,47954,34,27142,1262,5636,558,12890,272,483,172,9232,553,4958,431,963,216,3724,385,1919,423,9.5,0.8,4.2,0.5,32900.0,665.0,9.8,0.6,15.2,0.1,23.6,0.0,13.4,0.6,7.3,0.7,6.3,0.1,0.3,0.1,11.1,0.7,6.0,0.5,1.2,0.3,4.8,0.5,0.9,0.2,0.1494,0.1839,0.1034,0.4253,0.862,0.1494,0.1379,0.7241,0.2644,0.1839,1.3103,0.1149,0.3678,0.3103,0.6781,0.3563,0.9425,0.4368,0.3908,0.1494,0.046,1.9655,0.2299,4.8159,0.0805,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11496,977,5.7,0.5,155271
39,OHIO,OH,Miami,39109,"Miami County, Ohio",406.5097888,104800,0,44323,101,41081,426,9764,1009,2442,432,29703,812,7121,593,18836,118,24304,58,14489,782,3045,398,7850,21,462,281,1745,306,894,200,267,92,2298,300,973,200,9.4,1.0,4.6,0.8,29703.0,812.0,9.8,0.8,18.0,0.1,23.2,0.1,14.0,0.7,7.4,1.0,7.5,0.0,0.5,0.3,3.9,0.7,2.0,0.5,0.6,0.2,5.6,0.7,0.9,0.2,0.1149,0.2759,0.2529,0.4253,1.069,0.2184,0.6322,0.6092,0.3563,0.2069,1.8046,0.3218,0.5057,0.5402,1.0459,0.5747,0.5517,0.1264,0.092,0.3103,0.046,1.1264,0.023,5.0459,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5631,637,5.4,0.6,94392
39,OHIO,OH,Ottawa,39123,"Ottawa County, Ohio",254.7388548,40709,0,28391,109,17691,411,4181,599,950,180,33081,1141,2418,304,9598,61,7772,51,6327,382,1223,216,3130,79,89,100,1312,210,3281,289,70,41,775,150,855,217,10.4,1.5,4.7,0.9,33081.0,1141.0,8.0,1.0,23.6,0.2,19.1,0.1,15.7,0.9,6.9,1.2,7.7,0.2,0.2,0.3,4.6,0.7,11.6,1.0,0.4,0.2,4.4,0.8,2.1,0.5,0.2299,0.3218,0.092,0.1379,0.7816,0.1149,0.9885,0.0345,0.5977,0.1149,1.7356,0.3103,0.5172,0.092,0.6092,0.2759,0.6322,0.7356,0.0,0.1034,0.5057,1.9769,0.2414,5.1033,0.1034,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1711,291,4.2,0.7,34022
39,OHIO,OH,Darke,39037,"Darke County, Ohio",598.0999178,51734,0,22844,113,20838,347,5124,632,1213,222,26262,747,3294,313,9780,60,12420,55,7146,413,1653,222,1965,4,55,109,407,113,1000,176,228,74,1119,181,654,214,10.1,1.2,4.7,0.8,26262.0,747.0,9.3,0.9,18.9,0.1,24.0,0.1,14.0,0.8,7.9,1.1,3.8,0.0,0.1,0.2,1.8,0.5,4.4,0.8,1.1,0.4,5.4,0.9,1.3,0.4,0.1839,0.3218,0.5172,0.3333,1.3562,0.2874,0.7816,0.8391,0.3563,0.3218,2.2988,0.6782,0.1149,0.0115,0.1264,0.0575,0.1724,0.3333,0.3103,0.2644,0.2529,1.3333,0.0805,5.1147,0.1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,452,5.9,0.9,43353
39,OHIO,OH,Carroll,39019,"Carroll County, Ohio",394.6081954,27578,0,13646,76,11126,324,3549,621,611,148,28421,1718,2233,258,5580,99,5763,160,4019,377,770,190,1029,21,56,87,119,75,1744,269,121,53,604,136,453,149,13.1,2.3,4.6,1.1,28421.0,1718.0,11.3,1.3,20.2,0.4,20.9,0.6,14.7,1.4,6.9,1.7,3.7,0.1,0.2,0.3,0.9,0.6,12.8,2.0,1.1,0.5,5.4,1.2,1.6,0.5,0.3908,0.2759,0.3333,0.6092,1.6092,0.3678,0.9195,0.1724,0.4138,0.1149,1.6206,0.2644,0.1034,0.092,0.1954,0.092,0.0,0.7586,0.3103,0.2644,0.3908,1.7241,0.1839,5.1493,0.1264,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2502,471,9.2,1.7,18994
39,OHIO,OH,Lake,39085,"Lake County, Ohio",229.2701537,230052,0,102619,197,95980,658,18830,1362,5449,464,33737,567,13190,674,43492,132,47244,0,29673,1065,7523,575,26244,130,2585,427,10972,620,1735,241,786,228,4588,521,3161,371,8.3,0.6,4.4,0.4,33737.0,567.0,8.0,0.4,18.9,0.1,20.5,0.0,13.0,0.5,7.8,0.6,11.4,0.1,1.2,0.2,10.7,0.6,1.7,0.2,0.8,0.2,4.8,0.5,1.4,0.2,0.0805,0.2184,0.0805,0.1379,0.5173,0.0805,0.7816,0.092,0.2184,0.2874,1.3794,0.1609,0.7241,0.908,1.6321,0.8851,0.9195,0.1034,0.1724,0.1494,0.3333,1.678,0.1724,5.2068,0.1379,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,11587,1057,5.1,0.5,203197
