ProjectType,AltProjectName,DQIssues,DQCohort,DQPercent,DQPoints,DQMath,DQPossible,NoIncomeAtEntry,NoIncomeAtEntryCohort,NoIncomeAtEntryMath,NoIncomeAtEntryPercent,NoIncomeAtEntryPoints,NoIncomeAtEntryPossible,NoIncomeAtEntryDQ,ExitsToPH,ExitsToPHMath,ExitsToPHPercent,ExitsToPHPoints,ExitsToPHPossible,ExitsToPHDQ,ExitsToPHCohort,ScoredAtEntry,ScoredAtEntryMath,ScoredAtEntryPercent,ScoredAtEntryPoints,ScoredAtEntryCohort,ScoredAtEntryPossible,ScoredAtEntryDQ,MedHHI,MedianHHIMath,MedianHHICohort,MedianHHIPoints,MedianHHIPossible,MedianHHIDQ,IncreasedIncome,IncreasedIncomeCohort,IncreasedIncomeMath,IncreasedIncomePercent,IncreasedIncomePoints,IncreasedIncomePossible,IncreasedIncomeDQ,AverageLoSMath,AverageLoSCohort,AverageLoSPoints,AverageLoSPossible,AverageLoSDQ,LongTermHomeless,LongTermHomelessPercent,LongTermHomelessPoints,LongTermHomelessMath,LongTermhomelessCohort,LongTermHomelessPossible,LTHomelessDQ,BenefitsAtExitCohort,BenefitsAtExit,BenefitsAtExitMath,BenefitsAtExitPercent,BenefitsAtExitPoints,BenefitsAtExitPossible,BenefitsAtExitDQ,OwnHousingCohort,OwnHousing,OwnHousingMath,OwnHousingPercent,OwnHousingPoints,OwnHousingPossible,OwnHousingDQ,LHResPrior,LHResPriorCohort,LHResPriorMath,LHResPriorPercent,LHResPriorPoints,LHResPriorPossible,LHResPriorDQ,ProjectID,AltProjectID,CostPerExit,DateReceivedPPDocs,HousingFirstScore,ChronicPrioritizationScore,OnTrackSpendingScoring,UnspentFundsScoring,CostPerExitScore,CostPerExitPossible,CostPerExitMath,OnTrackSpendingPossible,OnTrackSpendingMath,UnspentFundsPossible,UnspentFundsMath,HousingFirstPossible,HousingFirstDQ,HousingFirstMath,ChronicPrioritizationDQ,ChronicPrioritizationPossible,ChronicPrioritizationMath
3,GLCAP PSH Combined,0,ClientsServed,0,5,0 errors / 251 clients served = 0%,5,10,AdultsEntered,10 had no income at entry / 27 adults who entered the project during the reporting period = 37%,0.37037037037037035,7.5,10,0,108,108 exits to permanent housing or retention in PSH / 114 heads of household = 95%,0.9473684210526315,12,12,0,HoHsServedLeavers,22,22 had a VI-SPDAT score at entry / 24 heads of household who entered the project during the reporting period = 92%,0.9166666666666666,2,HoHsEntered,5,0,4,Median Homeless History Index =  4,AdultsEntered,8,10,0,51,AdultsMovedIn,51 increased income during their stay / 128 adults who moved into the project's housing = 40%,0.3984375,11,11,0,731 average days,ClientsMovedInLeavers,0,NA,NA,9,0.3333333333333333,4,9 considered to be long-term homeless / 27 adults entered the project during the reporting period = 33%,AdultsEntered,10,0,AdultMovedInLeavers,41,41 exited with benefits or health insurance / 43 adult leavers who moved into the project's housing = 95%,0.9534883720930233,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,27,AdultsEntered,27 coming from shelter or streets (unsheltered) / 27 adults who entered the project during the reporting period = 100%,1,10,10,0,15,3003,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Columbiana - Columbiana MHA - Columbiana Free Choice II The Counseling Center- PSH,0,ClientsServed,0,5,0 errors / 10 clients served = 0%,5,4,AdultsEntered,4 had no income at entry / 4 adults who entered the project during the reporting period = 100%,1,10,10,0,10,10 exits to permanent housing or retention in PSH / 10 heads of household = 100%,1,12,12,0,HoHsServedLeavers,4,4 had a VI-SPDAT score at entry / 4 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,4,Median Homeless History Index =  4,AdultsEntered,8,10,0,7,AdultsMovedIn,7 increased income during their stay / 10 adults who moved into the project's housing = 70%,0.7,11,11,0,1531 average days,ClientsMovedInLeavers,0,NA,NA,0,0,0,0 considered to be long-term homeless / 4 adults entered the project during the reporting period = 0%,AdultsEntered,10,0,AdultMovedInLeavers,3,3 exited with benefits or health insurance / 3 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,4,AdultsEntered,4 coming from shelter or streets (unsheltered) / 4 adults who entered the project during the reporting period = 100%,1,10,10,0,31,31,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Columbiana - Columbiana County MHC - Permanent Housing for persons with disabilities - PSH,0,ClientsServed,0,5,0 errors / 12 clients served = 0%,5,3,AdultsEntered,3 had no income at entry / 3 adults who entered the project during the reporting period = 100%,1,10,10,0,10,10 exits to permanent housing or retention in PSH / 11 heads of household = 91%,0.9090909090909091,12,12,0,HoHsServedLeavers,3,3 had a VI-SPDAT score at entry / 3 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,5,10,0,6,AdultsMovedIn,6 increased income during their stay / 10 adults who moved into the project's housing = 60%,0.6,11,11,0,149 average days,ClientsMovedInLeavers,0,NA,NA,1,0.3333333333333333,4,1 considered to be long-term homeless / 3 adults entered the project during the reporting period = 33%,AdultsEntered,10,0,AdultMovedInLeavers,1,1 exited with benefits or health insurance / 1 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,3,AdultsEntered,3 coming from shelter or streets (unsheltered) / 3 adults who entered the project during the reporting period = 100%,1,10,10,0,34,34,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
2,Warren - Warren MHA - Transitions - TH,0,ClientsServed,0,5,0 errors / 438 clients served = 0%,5,45,AdultsEntered,45 had no income at entry / 115 adults who entered the project during the reporting period = 39%,0.391304347826087,10,10,0,87,87 exits to permanent housing / 116 heads of household leavers = 75%,0.75,5,10,0,HoHsServedLeavers,93,93 had a VI-SPDAT score at entry / 93 heads of household who entered the project during the reporting period = 100%,1,5,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,7,10,0,47,AdultsMovedIn,47 increased income during their stay / 166 adults who moved into the project's housing = 28%,0.28313253012048195,10,10,0,213 average days,ClientsMovedInLeavers,7.5,10,0,18,0.1565217391304348,0,18 considered to be long-term homeless / 115 adults entered the project during the reporting period = 16%,AdultsEntered,NA,0,AdultMovedInLeavers,104,104 exited with benefits or health insurance / 105 adult leavers who moved into the project's housing = 99%,0.9904761904761905,10,10,0,HoHsMovedInLeavers,87,87 exited to their own permanent housing / 89 heads of household leavers who moved into housing = 98%,0.9775280898876404,5,5,0,113,AdultsEntered,113 coming from shelter or streets (unsheltered) / 115 adults who entered the project during the reporting period = 98%,0.9826086956521739,10,10,0,56,56,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
3,Union - Mental Health Recovery Board - Homeward Bound I'm Home - PSH,0,ClientsServed,0,5,0 errors / 6 clients served = 0%,5,0,AdultsEntered,All points granted because 0 adults entered this project during the reporting period,NaN,10,10,0,6,6 exits to permanent housing or retention in PSH / 6 heads of household = 100%,1,12,12,0,HoHsServedLeavers,1,All points granted because 0 households entered the project during the reporting period,NA,5,HoHsEntered,5,0,NA,All points granted since 0 adults entered this project during the reporting period,AdultsEntered,10,10,0,4,AdultsMovedIn,4 increased income during their stay / 6 adults who moved into the project's housing = 67%,0.6666666666666666,11,11,0,All points granted because this project had 0 leavers who moved into the project's housing,ClientsMovedInLeavers,0,NA,NA,0,NA,10,All points granted because 0 adults entered this project during the reporting period,AdultsEntered,10,NA,AdultMovedInLeavers,0,All points granted because this project had no adult leavers who moved into the project's housing,NaN,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,0,AdultsEntered,All points granted because this project has 0 adults who entered the project,NaN,10,10,0,61,61,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
2,Portage - Family and Community Services - Portage Area Transitional Housing 3 - TH,0,ClientsServed,0,5,0 errors / 29 clients served = 0%,5,7,AdultsEntered,7 had no income at entry / 17 adults who entered the project during the reporting period = 41%,0.4117647058823529,10,10,0,16,16 exits to permanent housing / 23 heads of household leavers = 70%,0.6956521739130435,0,10,0,HoHsServedLeavers,16,16 had a VI-SPDAT score at entry / 17 heads of household who entered the project during the reporting period = 94%,0.9411764705882353,2,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,7,10,0,14,AdultsMovedIn,14 increased income during their stay / 28 adults who moved into the project's housing = 50%,0.5,10,10,0,196 average days,ClientsMovedInLeavers,10,10,0,1,0.058823529411764705,0,1 considered to be long-term homeless / 17 adults entered the project during the reporting period = 6%,AdultsEntered,NA,0,AdultMovedInLeavers,18,18 exited with benefits or health insurance / 19 adult leavers who moved into the project's housing = 95%,0.9473684210526315,10,10,0,HoHsMovedInLeavers,16,16 exited to their own permanent housing / 18 heads of household leavers who moved into housing = 89%,0.8888888888888888,5,5,0,17,AdultsEntered,17 coming from shelter or streets (unsheltered) / 17 adults who entered the project during the reporting period = 100%,1,10,10,0,91,91,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
3,"Logan - Residential Administrators, Inc. - PSH",0,ClientsServed,0,5,0 errors / 32 clients served = 0%,5,5,AdultsEntered,5 had no income at entry / 9 adults who entered the project during the reporting period = 56%,0.5555555555555556,10,10,0,25,25 exits to permanent housing or retention in PSH / 25 heads of household = 100%,1,12,12,0,HoHsServedLeavers,8,8 had a VI-SPDAT score at entry / 9 heads of household who entered the project during the reporting period = 89%,0.8888888888888888,0,HoHsEntered,5,0,2,Median Homeless History Index =  2,AdultsEntered,5,10,0,12,AdultsMovedIn,12 increased income during their stay / 30 adults who moved into the project's housing = 40%,0.4,11,11,0,945 average days,ClientsMovedInLeavers,0,NA,NA,2,0.2222222222222222,2,2 considered to be long-term homeless / 9 adults entered the project during the reporting period = 22%,AdultsEntered,10,0,AdultMovedInLeavers,7,7 exited with benefits or health insurance / 7 adult leavers who moved into the project's housing = 100%,1,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,9,AdultsEntered,9 coming from shelter or streets (unsheltered) / 9 adults who entered the project during the reporting period = 100%,1,10,10,0,97,97,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Geauga - Board of Mental Health & Recovery Services - SPC Geauga County TRA - PSH,28,ClientsServed,1.0769230769230769,0,28 errors / 26 clients served = 108%,5,0,AdultsEntered,0 had no income at entry / 1 adults who entered the project during the reporting period = 0%,0,0,10,1,14,14 exits to permanent housing or retention in PSH / 14 heads of household = 100%,1,0,12,1,HoHsServedLeavers,0,0 had a VI-SPDAT score at entry / 1 heads of household who entered the project during the reporting period = 0%,0,0,HoHsEntered,5,1,0,Median Homeless History Index =  0,AdultsEntered,0,10,1,9,AdultsMovedIn,9 increased income during their stay / 15 adults who moved into the project's housing = 60%,0.6,0,11,1,123 average days,ClientsMovedInLeavers,0,NA,NA,0,0,0,0 considered to be long-term homeless / 1 adults entered the project during the reporting period = 0%,AdultsEntered,10,1,AdultMovedInLeavers,0,All points granted because this project had no adult leavers who moved into the project's housing,NaN,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,1,AdultsEntered,1 coming from shelter or streets (unsheltered) / 1 adults who entered the project during the reporting period = 100%,1,0,10,1,106,106,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
3,Portage - Portage MHA - Portage Shelter Plus Care - PSH,0,ClientsServed,0,5,0 errors / 79 clients served = 0%,5,8,AdultsEntered,8 had no income at entry / 15 adults who entered the project during the reporting period = 53%,0.5333333333333333,10,10,0,62,62 exits to permanent housing or retention in PSH / 68 heads of household = 91%,0.9117647058823529,12,12,0,HoHsServedLeavers,13,13 had a VI-SPDAT score at entry / 15 heads of household who entered the project during the reporting period = 87%,0.8666666666666667,0,HoHsEntered,5,0,3,Median Homeless History Index =  3,AdultsEntered,8,10,0,40,AdultsMovedIn,40 increased income during their stay / 68 adults who moved into the project's housing = 59%,0.5882352941176471,11,11,0,1309 average days,ClientsMovedInLeavers,0,NA,NA,3,0.2,2,3 considered to be long-term homeless / 15 adults entered the project during the reporting period = 20%,AdultsEntered,10,0,AdultMovedInLeavers,8,8 exited with benefits or health insurance / 9 adult leavers who moved into the project's housing = 89%,0.8888888888888888,12,12,0,HoHsMovedInLeavers,0,,NA,0,NA,NA,13,AdultsEntered,13 coming from shelter or streets (unsheltered) / 15 adults who entered the project during the reporting period = 87%,0.8666666666666667,10,10,0,114,114,NA,NA,0,0,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,0,NOT SCORED in 2020 due to COVID-19.
2,Huron - Catholic Charities Toledo - Miriam House Transitional Housing - TH,19,ClientsServed,0.3275862068965517,0,19 errors / 58 clients served = 33%,5,19,AdultsEntered,19 had no income at entry / 24 adults who entered the project during the reporting period = 79%,0.7916666666666666,0,10,1,19,19 exits to permanent housing / 28 heads of household leavers = 68%,0.6785714285714286,0,10,0,HoHsServedLeavers,16,16 had a VI-SPDAT score at entry / 24 heads of household who entered the project during the reporting period = 67%,0.6666666666666666,0,HoHsEntered,5,0,0,Median Homeless History Index =  0,AdultsEntered,0,10,0,12,AdultsMovedIn,12 increased income during their stay / 29 adults who moved into the project's housing = 41%,0.41379310344827586,0,10,1,143 average days,ClientsMovedInLeavers,10,10,0,2,0.08333333333333333,0,2 considered to be long-term homeless / 24 adults entered the project during the reporting period = 8%,AdultsEntered,NA,0,AdultMovedInLeavers,23,23 exited with benefits or health insurance / 24 adult leavers who moved into the project's housing = 96%,0.9583333333333334,0,10,1,HoHsMovedInLeavers,12,12 exited to their own permanent housing / 23 heads of household leavers who moved into housing = 52%,0.5217391304347826,0,5,0,6,AdultsEntered,6 coming from shelter or streets (unsheltered) / 24 adults who entered the project during the reporting period = 25%,0.25,0,10,0,122,122,NA,NA,0,NA,NA,NA,NA,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,NOT SCORED in 2020 due to COVID-19.,0,2,NOT SCORED in 2020 due to COVID-19.,2,NA,NOT SCORED in 2020 due to COVID-19.
