State,County,SSVFServiceArea,VAMC,HomelessPlanningRegion,SOAR,Bridges,BridgesRegCoordinator,CoC,YHDP,RHY,Unknown,HNHF
Ohio,Defiance,Maumee Valley Guidance Center,Northern Indiana,1,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Northwestern Ohio Community Action Commission
Ohio,Fulton,Maumee Valley Guidance Center,"Ann Arbor, MI",1,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Northwestern Ohio Community Action Commission
Ohio,Henry,Maumee Valley Guidance Center,"Ann Arbor, MI",1,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Northwestern Ohio Community Action Commission
Ohio,Paulding,Maumee Valley Guidance Center,Northern Indiana,1,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Northwestern Ohio Community Action Commission
Ohio,Van Wert,Maumee Valley Guidance Center,Northern Indiana,1,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Northwestern Ohio Community Action Commission
Ohio,Williams,Maumee Valley Guidance Center,Northern Indiana,1,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Northwestern Ohio Community Action Commission
Ohio,Erie,Great Lakes Community Action Partnership,Cleveland,2,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Huron ,Great Lakes Community Action Partnership,Cleveland,2,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Ottawa,Great Lakes Community Action Partnership,"Ann Arbor, MI",2,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Richland,Salvation Army,Cleveland,2,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Sandusky,Great Lakes Community Action Partnership,"Ann Arbor, MI",2,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Seneca,Great Lakes Community Action Partnership,"Ann Arbor, MI",2,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Wood,Great Lakes Community Action Partnership,"Ann Arbor, MI",2,,Northwest,"Jason Harland, jason.harland@cfhcohio.org",OH-507 Balance of State,,,,Great Lakes Community Action Partnership
Ohio,Adams,Lutheran Social Services,Chillicothe,3,,Southwest,"Meredith Hicks, meredith.hicks@cfhcohio.org and Esther Urick, esther.urick@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Brown,Lutheran Social Services,Cincinnati,3,,Southwest,"Meredith Hicks, meredith.hicks@cfhcohio.org and Esther Urick, esther.urick@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Lawrence,WM CAP,"Huntington, WV",3,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Pike ,VOA Ohio & Indiana,Chillicothe,3,,Southwest,"Meredith Hicks, meredith.hicks@cfhcohio.org and Esther Urick, esther.urick@cfhcohio.org",OH-507 Balance of State,,,Integrated Services for Behavioral Health,
Ohio,Scioto,WM CAP,Chillicothe,3,,Southwest,"Meredith Hicks, meredith.hicks@cfhcohio.org and Esther Urick, esther.urick@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Ashland,Salvation Army,Cleveland,4,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Lorain,Family and Community Services & GLCAP via FrontLine,Cleveland,4,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Medina,Family and Community Services,Cleveland,4,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Wayne,Salvation Army,Cleveland,4,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Ashtabula,FrontLine Services,"Erie, PA",5,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,Coleman Professional Services
Ohio,Geauga,Family and Community Services,Cleveland,5,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,"Family & Community Services, Inc. Ð Next Step",Coleman Professional Services
Ohio,Lake,FrontLine Services,Cleveland,5,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,Coleman Professional Services
Ohio,Portage,Family and Community Services,Cleveland,5,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,"Family & Community Services, Inc. Ð Next Step",Coleman Professional Services
Ohio,Trumbull,Family and Community Services,Cleveland,5,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,,,,Coleman Professional Services
Ohio,Carroll,Columbiana CAA,Cleveland,6,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,YHDP,,Community Action Agency of Columbiana County (CAA),Community Action Agency of Columbiana County
Ohio,Columbiana,Columbiana CAA,Cleveland,6,,Northeast,"Latasha Colbert, lastasha.colbert@cfhcohio.org and Kathy Harris, kathy.harris@cfhcohio.org",OH-507 Balance of State,YHDP,,Community Action Agency of Columbiana County (CAA),Community Action Agency of Columbiana County
Ohio,Harrison,Columbiana CAA,Cleveland,6,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,YHDP,,Community Action Agency of Columbiana County (CAA),Community Action Agency of Columbiana County
Ohio,Jefferson,Columbiana CAA,"Pittsburgh, PA",6,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,YHDP,,Community Action Agency of Columbiana County (CAA),Community Action Agency of Columbiana County
Ohio,Tuscarawas,Columbiana CAA,Cleveland,6,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,YHDP,,Community Action Agency of Columbiana County (CAA),Community Action Agency of Columbiana County
Ohio,Belmont,WM CAP,Cleveland,7,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Guernsey,WM CAP,Cleveland & Chillicothe,7,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Monroe,WM CAP,"Pittsburgh, PA",7,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Noble,WM CAP,Chillicothe & Columbus,7,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,
Ohio,Morgan,WM CAP,Chillicothe & Columbus,8,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,Washington-Morgan Community Action
Ohio,Washington,WM CAP,Chillicothe,8,,Southeast,"Sarah Shooter, sarah.shooter@cfhcohio.org",OH-507 Balance of State,,,,Washington-Morgan Community Action
