ProjectID,ProjectAKA,OrganizationName,ProjectName,TargetPop,ProjectCountyServed,ProjectAreaServed,ProjectHours,ProjectTelNo,OrgLink,CoCCode,Addresses,City
1793,Salvation Army Kroc Center,Salvation Army Kroc Center,Ashland - Salvation Army Kroc Center - AP,General,Ashland,Homeless Planning Region 04,"Mon - Fri, 9:00am - 3:00pm",419-281-8001,<a href='https://www.ashlandkroc.org/' target='_blank'>Salvation Army Kroc Center</a><small> (#1793)</small>,OH-507,527 E Liberty St,"Ashland, OH 44805"
1795,The Salvation Army Corps Community Center,Salvation Army of Clark County,Clark - Salvation Army of Clark County - AP,General,Clark,Homeless Planning Region 15,"Mon - Fri, 8:30am - 5:00pm",937-322-3434 x5,<a href='https://swo.salvationarmy.org/springfield-oh' target='_blank'>The Salvation Army Corps Community Center</a><small> (#1795)</small>,OH-507,15 S Plum St,"Springfield, OH 45506"
1796,St Vincent de Paul,"City of Springfield, Ohio",Clark - City of Springfield - St. Vincent de Paul - AP,General,Clark,Homeless Planning Region 15,"Mon - Fri, 9:00am - 5:00pm (store hours)",937-325-9111,<a href='https://www.svdpspfld.org/services/get-help-2/' target='_blank'>St Vincent de Paul</a><small> (#1796)</small>,OH-507,2425 E High St,"Springfield, OH 45505"
1808,Richland First Call 211,Mansfield Richland County Public Library,Richland - First Call 211 - AP,General,Richland,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:00pm, 211 Hotline 24/7",419-522-4636,<a href='https://www.mrcpl.org/services/first-call-211' target='_blank'>Richland First Call 211</a><small> (#1808)</small>,OH-507,43 W. Third St.,"Mansfield, OH 44902"
1809,Ravenwood Mental Health Center,Ravenwood Mental Health Center,Geauga - Ravenwood Mental Health Center - AP,General,Geauga,Homeless Planning Region 05,"Mon - Thu, 8:00am - 8:00pm, Fri, 8:00am - 5:00pm, Hotline 24/7",440-632-5355,<a href='https://www.ravenwoodhealth.org/' target='_blank'>Ravenwood Mental Health Center</a><small> (#1809)</small>,OH-507,12557 Ravenwood Drive,"Chardon, OH 44024"
1811,United Way of Guernsey County,United Way of Guernsey County,Guernsey - United Way of Guernsey County - AP,General,Guernsey,Homeless Planning Region 07,"Mon - Fri, 9:00am - 5:00pm",740-439-2667,<a href='https://www.guernseynobleunitedway.com/' target='_blank'>United Way of Guernsey County</a><small> (#1811)</small>,OH-507,611 Wheeling Ave,"Cambridge, OH 43725"
1811,United Way of Guernsey County,United Way of Guernsey County,Guernsey - United Way of Guernsey County - AP,General,Monroe,Homeless Planning Region 07,"Mon - Fri, 9:00am - 5:00pm",740-439-2667,<a href='https://www.guernseynobleunitedway.com/' target='_blank'>United Way of Guernsey County</a><small> (#1811)</small>,OH-507,611 Wheeling Ave,"Cambridge, OH 43725"
1811,United Way of Guernsey County,United Way of Guernsey County,Guernsey - United Way of Guernsey County - AP,General,Noble,Homeless Planning Region 07,"Mon - Fri, 9:00am - 5:00pm",740-439-2667,<a href='https://www.guernseynobleunitedway.com/' target='_blank'>United Way of Guernsey County</a><small> (#1811)</small>,OH-507,611 Wheeling Ave,"Cambridge, OH 43725"
1816,Abuse and Rape Crisis Shelter,"Abuse and Rape Crisis Shelter of Warren County, Inc.",Warren - ARC Shelter - AP,General,Warren,Homeless Planning Region 14,Hotline 24/7,888-860-4084,<a href='https://arcshelter.com/' target='_blank'>Abuse and Rape Crisis Shelter</a><small> (#1816)</small>,OH-507,27 N East St,"Lebanon, OH 45036"
1817,Ohio Heartland CAC,Ohio Heartland Community Action Commission,Marion - Ohio Heartland CAC - AP,General,Crawford,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",740-383-2273,<a href='http://www.maccsite.com/' target='_blank'>Ohio Heartland CAC</a><small> (#1817)</small>,OH-507,1183 Bellefontaine Ave,"Marion, OH 43302"
1817,Ohio Heartland CAC,Ohio Heartland Community Action Commission,Marion - Ohio Heartland CAC - AP,General,Marion,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",740-383-2273,<a href='http://www.maccsite.com/' target='_blank'>Ohio Heartland CAC</a><small> (#1817)</small>,OH-507,1183 Bellefontaine Ave,"Marion, OH 43302"
1818,Behavioral Healthcare Partners of Central Ohio,Behavioral Healthcare Partners of Central Ohio,Licking - Behavioral Healthcare Partners of Central Ohio - AP,General,Licking,Homeless Planning Region 09,"Mon & Fri 8:00am - 5:00pm, Tue - Thur 8:00am - 7:00pm",740-522-8477,<a href='https://www.bhcpartners.org/' target='_blank'>Behavioral Healthcare Partners of Central Ohio</a><small> (#1818)</small>,OH-507,65 Messimer Drive,"Newark, OH 43055"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,General,Sandusky,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Erie,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Hancock,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Huron,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Ottawa,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Sandusky,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Seneca,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Wood,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,Veterans,Wyandot,Homeless Planning Region 02,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
1829,Great Lakes Community Action Partnership,Great Lakes Community Action Partnership,Sandusky - GLCAP - AP,General,Sandusky,Homeless Planning Region 11,"Mon - Fri, 9:00am - 4:30pm",419-334-8911,<a href='https://www.glcap.org' target='_blank'>Great Lakes Community Action Partnership</a><small> (#1829)</small>,OH-507,127 South Front Street,"Fremont, OH 43420"
