GEOID,state_name,county_name,state_fips,county_fips,perc_cost_burdened_under_35k,perc_overcrowding_renter_1.50_or_more,perc_unemployed_laborforce,perc_renters,perc_poverty_12mnth,perc_no_hinsure,perc_person_of_color,perc_public_assistance,perc_foreign_born,perc_30hamfi,perc_low_income_jobs_lost,housing_index,covid_index,equity_index,total_index,housing_index_quantile,covid_index_quantile,equity_index_quantile,total_index_quantile,z_score_perc_cost_burdened_under_35k,z_score_perc_overcrowding_renter_1.50_or_more,z_score_perc_unemployed_laborforce,z_score_perc_renters,z_score_perc_poverty_12mnth,z_score_perc_no_hinsure,z_score_perc_person_of_color,z_score_perc_public_assistance,z_score_perc_foreign_born,z_score_perc_30hamfi,z_score_perc_low_income_jobs_lost,z_score_perc_cost_burdened_under_35k_quantile,z_score_perc_overcrowding_renter_1.50_or_more_quantile,z_score_perc_unemployed_laborforce_quantile,z_score_perc_renters_quantile,z_score_perc_poverty_12mnth_quantile,z_score_perc_no_hinsure_quantile,z_score_perc_person_of_color_quantile,z_score_perc_public_assistance_quantile,z_score_perc_foreign_born_quantile,z_score_perc_30hamfi_quantile,z_score_perc_low_income_jobs_lost_quantile,num_ELI,grayed_out
39099812700,Ohio,Mahoning County,39,39099,0.323809524,0,0.045119705,0.254901961,0.085519922,0.052763819,0.03874092,0.006535948,0.013075061,0.05,0.09652,-0.478287667,-0.869426453,-0.811022201,-0.650495359,0.21,0.07,0.03,0.08,-0.52921072,-0.321076659,-0.432981311,-0.493639257,-0.614530386,-0.683140803,-0.782645481,-0.666014139,-0.550829378,-1.301353249,-1.055712103,0.3,0.01,0.42,0.38,0.32,0.25,0.15,0.18,0.32,0.08,0.15,10,0
39099813400,Ohio,Mahoning County,39,39099,0.447058824,0,0.0625,0.144098479,0.075504829,0.086241276,0.034825871,0.013758146,0.015803336,0.285714286,0.0916,-0.421600533,-0.85037074,-0.545561911,-0.514062105,0.25,0.07,0.25,0.18,0.041073568,-0.321076659,-0.144800878,-0.998937582,-0.684261113,-0.149123546,-0.797140267,-0.49484831,-0.498626562,0.111524208,-1.551617935,0.54,0.01,0.58,0.17,0.28,0.52,0.13,0.33,0.37,0.58,0.04,50,0
39099812002,Ohio,Mahoning County,39,39099,0.230215827,0,0.035131744,0.332965213,0.047817048,0.036886907,0.062889813,0.010491441,0.023128898,0.089108911,0.10856,-0.579325773,-0.389278026,-0.679562851,-0.600415829,0.15,0.29,0.11,0.11,-0.96227618,-0.321076659,-0.598590414,-0.137646558,-0.877039054,-0.936402123,-0.693238426,-0.572269095,-0.358459292,-1.066933437,0.157846072,0.15,0.01,0.29,0.51,0.16,0.13,0.28,0.26,0.48,0.14,0.58,45,0
39099800600,Ohio,Mahoning County,39,39099,0.509433962,0,0.310546875,0.456656347,0.567768038,0.128378378,0.922430511,0.178018576,0,0.724637681,0.10761,1.429244091,0.292560176,2.134455764,1.597660369,0.97,0.71,0.99,0.98,0.329688284,-0.321076659,3.968032489,0.42642347,2.743152871,0.523028455,2.489060764,3.398117559,-0.801007531,2.742442265,0.062091897,0.66,0.01,0.99,0.68,0.98,0.76,0.96,0.98,0.01,0.98,0.55,250,0
39099801500,Ohio,Mahoning County,39,39099,0.316384181,0,0.028375734,0.291338583,0.13505607,0.08,0.399713467,0.01799775,0.034383954,0.352941176,0.10247,-0.438472942,-0.352335074,0.273064298,-0.145244259,0.24,0.32,0.72,0.52,-0.563568372,-0.321076659,-0.710610951,-0.327476933,-0.269631797,-0.248681561,0.553792278,-0.394369858,-0.143105098,0.51448391,-0.455988586,0.29,0.01,0.2,0.44,0.51,0.47,0.77,0.42,0.6,0.71,0.35,90,0
39099803000,Ohio,Mahoning County,39,39099,0.657754011,0,0.137891078,0.384526559,0.376819407,0.111742424,0.328301887,0.076212471,0.010242588,0.4,0.11189,0.662259843,0.375574445,0.34084279,0.505024482,0.84,0.75,0.74,0.79,1.015976916,-0.321076659,1.105248894,0.097489212,1.413660852,0.257659237,0.289403385,0.985316789,-0.605025903,0.796555702,0.493489653,0.86,0.01,0.87,0.58,0.89,0.68,0.73,0.89,0.27,0.78,0.7,100,0
39099804100,Ohio,Mahoning County,39,39099,0.475961538,0,0.109859155,0.560763889,0.145240432,0.078431373,0.556113903,0.020833333,0.002512563,0.326923077,0.10268,0.23933019,-0.354262735,0.446157434,0.262701795,0.72,0.31,0.76,0.72,0.174808724,-0.321076659,0.640455185,0.901186231,-0.19872253,-0.273703597,1.132837554,-0.327166649,-0.752932165,0.358530756,-0.434821874,0.6,0.01,0.82,0.8,0.55,0.46,0.84,0.47,0.1,0.67,0.36,85,0
39099810200,Ohio,Mahoning County,39,39099,0.272058824,0,0.17687747,0.272326351,0.280232039,0.097451274,0.473449353,0.028665932,0.035698349,0.309090909,0.10468,0.197784362,-0.101770431,0.412085661,0.253549402,0.7,0.49,0.75,0.72,-0.768665316,-0.321076659,1.751677263,-0.414178622,0.741165145,0.029693276,0.826786507,-0.14153437,-0.117955473,0.251644286,-0.233234137,0.2,0.01,0.92,0.41,0.79,0.59,0.8,0.59,0.61,0.63,0.43,85,0
39099811002,Ohio,Mahoning County,39,39099,0,0,0.024279211,0.055941626,0.015540541,0.014869888,0.054864865,0.01980542,0.006891892,0.150943396,0.10986,-1.125968229,-0.499364774,-0.647635063,-0.871974617,0.01,0.23,0.13,0.02,-2.027503079,-0.321076659,-0.778534871,-1.400960242,-1.101766294,-1.287607649,-0.722949394,-0.351528145,-0.669138101,-0.696295951,0.2888781,0.01,0.01,0.15,0.04,0.03,0.03,0.24,0.45,0.19,0.27,0.63,40,0
39099812500,Ohio,Mahoning County,39,39099,0.241545894,0,0.044350174,0.205607477,0.06663846,0.076133731,0.039242753,0.012616822,0.007887991,0.105263158,0.10543,-0.628219949,-0.23399664,-0.747407243,-0.636472536,0.12,0.4,0.06,0.09,-0.909851064,-0.321076659,-0.445740819,-0.718437431,-0.745993772,-0.310354543,-0.780787533,-0.521897641,-0.650078753,-0.970104468,-0.157638736,0.16,0.01,0.41,0.29,0.24,0.44,0.15,0.3,0.22,0.17,0.46,50,0
